distance_m,maxSpeed_km_per_h,trafficSpeed_km_per_h,baseSpeed_km_per_h,road,road_number,actions,road_type
2165,32.00000148,13.00000032,22.999999680000002,Brompton Road,A4,,Trunk
2201,32.00000148,22.999999680000002,31.000001759999996,Brompton Road,A4,,Trunk
2213,32.00000148,22.00000032,33.0000012,Brompton Road,A4,,Trunk
2272,32.00000148,22.999999680000002,36.0,Brompton Road,A4,,Trunk
2300,32.00000148,26.000000280000002,34.00000092,Brompton Road,A4,,Trunk
2323,32.00000148,28.00000116,35.00000028,Brompton Road,A4,,Trunk
2333,32.00000148,22.999999680000002,36.0,Brompton Road,A4,,Trunk
2356,32.00000148,27.0,36.0,Brompton Road,A4,,Trunk
2370,32.00000148,22.999999680000002,36.0,Brompton Road,A4,,Trunk
2400,32.00000148,26.000000280000002,32.00000148,Brompton Road,A4,,Trunk
2445,32.00000148,20.000000879999998,31.000001759999996,Brompton Road,A4,,Trunk
2449,32.00000148,22.999999680000002,30.000002400000003,Brompton Road,A4,,Trunk
2456,32.00000148,20.000000879999998,28.00000116,Brompton Road,A4,,Trunk
2466,32.00000148,20.000000879999998,26.000000280000002,Brompton Road,A4,,Trunk
2496,32.00000148,30.000002400000003,36.0,Brompton Road,A4,,Trunk
2600,32.00000148,30.000002400000003,36.99999972,Brompton Road,A4,,Trunk
2642,32.00000148,28.999999080000002,36.99999972,Brompton Road,A4,,Trunk
2695,32.00000148,27.0,34.00000092,Brompton Road,A4,,Trunk
2727,32.00000148,18.0,20.000000879999998,Brompton Road,A4,,Trunk
2794,32.00000148,22.999999680000002,28.999999080000002,Brompton Road,A4,,Trunk
2809,32.00000148,27.0,31.000001759999996,Brompton Road,A4,,Trunk
2819,32.00000148,28.999999080000002,33.0000012,Brompton Road,A4,,Trunk
2842,32.00000148,18.0,32.00000148,Brompton Road,A4,,Trunk
2912,32.00000148,27.0,32.00000148,Brompton Road,A4,,Trunk
2947,32.00000148,31.000001759999996,33.0000012,Brompton Road,A4,,Trunk
3092,32.00000148,21.0000006,25.00000092,Brompton Road,A4,,Trunk
3159,32.00000148,26.000000280000002,27.0,Brompton Road,A4,,Trunk
3180,32.00000148,30.000002400000003,32.00000148,Brompton Road,A4,,Trunk
3193,32.00000148,32.00000148,32.00000148,Brompton Road,A4,,Trunk
3235,32.00000148,36.0,38.00000268,Brompton Road,A4,,Trunk
3252,32.00000148,33.0000012,36.0,Brompton Road,A4,,Trunk
3260,32.00000148,31.000001759999996,36.99999972,Brompton Road,A4,,Trunk
3277,32.00000148,31.000001759999996,38.00000268,Brompton Road,A4,,Trunk
3324,32.00000148,27.0,32.00000148,Brompton Road,A4,,Trunk
3385,32.00000148,22.00000032,24.000001200000003,Brompton Road,A4,,Trunk
3414,32.00000148,16.00000092,19.00000116,Brompton Road,A4,,Trunk
3424,32.00000148,19.00000116,19.00000116,Brompton Road,A4,,Trunk
3452,32.00000148,26.000000280000002,30.000002400000003,Brompton Road,A4,,Trunk
3475,32.00000148,27.0,32.00000148,Brompton Road,A4,,Trunk
3497,32.00000148,21.0000006,34.00000092,Brompton Road,A4,,Trunk
3553,32.00000148,20.000000879999998,26.000000280000002,Brompton Road,A4,,Trunk
3588,32.00000148,28.999999080000002,33.0000012,Brompton Road,A4,,Trunk
3600,32.00000148,31.000001759999996,34.00000092,Brompton Road,A4,,Trunk
3616,32.00000148,22.00000032,28.999999080000002,Brompton Road,A4,,Trunk
3672,32.00000148,31.000001759999996,38.00000268,Brompton Road,A4,,Trunk
3696,32.00000148,31.000001759999996,34.00000092,Brompton Road,A4,,Trunk
3730,32.00000148,28.00000116,34.00000092,Brompton Road,A4,,Trunk
3765,32.00000148,21.0000006,21.0000006,Brompton Road,A4,,Trunk
3846,32.00000148,28.999999080000002,32.00000148,Brompton Road,A4,,Trunk
3861,32.00000148,31.000001759999996,34.00000092,Brompton Road,A4,,Trunk
3921,32.00000148,26.000000280000002,31.000001759999996,Brompton Road,A4,,Trunk
3990,32.00000148,16.00000092,27.0,Brompton Road,A4,,Trunk
4033,32.00000148,19.00000116,30.000002400000003,Brompton Road,A4,,Trunk
4104,32.00000148,28.999999080000002,28.999999080000002,Brompton Road,A4,,Trunk
4134,32.00000148,26.000000280000002,33.0000012,Brompton Road,A4,,Trunk
4164,32.00000148,27.0,34.00000092,Brompton Road,A4,,Trunk
4213,32.00000148,25.00000092,33.0000012,Brompton Road,A4,,Trunk
4242,32.00000148,20.000000879999998,27.0,Brompton Road,A4,,Trunk
4275,32.00000148,17.000000280000002,17.000000280000002,Brompton Road,A4,,Trunk
4319,32.00000148,30.000002400000003,30.000002400000003,Brompton Road,A4,,Trunk
4331,32.00000148,32.00000148,32.00000148,Brompton Road,A4,,Trunk
4353,48.00000240000001,43.00000092,48.00000240000001,Brompton Road,A4,,Trunk
4455,48.00000240000001,44.00000028,48.00000240000001,Brompton Road,A4,,Trunk
4500,48.00000240000001,35.00000028,45.99999972,Brompton Road,A4,,Trunk
4577,48.00000240000001,39.00000240000001,45.99999972,Brompton Road,A4,,Trunk
4589,48.00000240000001,39.00000240000001,45.99999972,Brompton Road,A4,keep (left),Trunk
4590,48.00000240000001,20.000000879999998,30.000002400000003,West Cromwell Road,A4,,Trunk
4726,48.00000240000001,40.000001759999996,44.00000028,West Cromwell Road,A4,,Trunk
4732,48.00000240000001,36.99999972,44.00000028,West Cromwell Road,A4,,Trunk
4776,48.00000240000001,28.999999080000002,45.99999972,West Cromwell Road,A4,,Trunk
4853,48.00000240000001,24.000001200000003,47.00000268,West Cromwell Road,A4,,Trunk
4868,48.00000240000001,28.999999080000002,45.99999972,West Cromwell Road,A4,,Trunk
4880,48.00000240000001,18.0,43.00000092,West Cromwell Road,A4,,Trunk
5043,48.00000240000001,18.0,33.0000012,West Cromwell Road,A4,,Trunk
5147,48.00000240000001,18.0,26.000000280000002,West Cromwell Road,A4,,Trunk
5176,48.00000240000001,21.0000006,21.0000006,West Cromwell Road,A4,,Trunk
5233,48.00000240000001,21.0000006,21.0000006,West Cromwell Road,A4,turn (left),Trunk
5234,32.00000148,15.000001200000002,21.0000006,North End Road,B317,,Access
5248,32.00000148,15.000001200000002,22.999999680000002,North End Road,B317,,Access
5285,32.00000148,14.00000076,24.000001200000003,North End Road,B317,,Access
5304,32.00000148,17.000000280000002,25.00000092,North End Road,B317,,Access
5311,32.00000148,21.0000006,27.0,North End Road,B317,,Access
5322,32.00000148,21.0000006,28.00000116,North End Road,B317,,Access
5349,32.00000148,24.000001200000003,28.999999080000002,North End Road,B317,,Access
5383,32.00000148,26.000000280000002,32.00000148,North End Road,B317,,Access
5394,32.00000148,25.00000092,34.00000092,North End Road,B317,,Access
5433,32.00000148,26.000000280000002,33.0000012,North End Road,B317,,Access
5507,32.00000148,26.000000280000002,33.0000012,North End Road,B317,arrive,Access
5508,,,,,,,Local
