distance(m),HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0009935791408503375,0.004088394827535892,0.012602871338484846,3.76893302587811,11.883446599360244,3.89698458388356e-05,5.845477530937199e-06,0.0007800000309944128
54,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
239,0.0035348488664867783,0.014545250828733461,0.044837138415763395,13.408704034374047,42.277646555416254,0.00013864272077278048,2.07964104466035e-05,0.002775000110268584
240,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
697,0.008732032064780853,0.03593070069584428,0.11075985003245335,33.12312293896724,104.43721338283908,0.0003424849913143821,5.13727544545827e-05,0.006855000272393204
698,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
754,0.0010700083055311328,0.004402886737346345,0.013572322979906758,4.058850950945657,12.79755787623411,4.19675262879768e-05,6.2951296487016e-06,0.0008400000333785984
755,1.7763561830470303e-05,7.22035810651421e-05,0.000227990334948598,0.06717868062535608,0.21181439425958837,6.999541791244e-07,1.049931390558e-07,1.50000005960464e-05
781,0.0004474901589498522,0.0018305489984509755,0.005792133827412826,1.7094444581988217,5.389878749034517,1.7842038488937e-05,2.6763060672296e-06,0.0003900000154972064
802,0.0003498339574491111,0.0014407656097630362,0.004568727196024234,1.3506580828490535,4.2586252374804285,1.41227176541556e-05,2.1184078669362004e-06,0.0003150000125169744
826,0.0004610120715929304,0.0018577961406583104,0.005809185889598018,1.7128253901789021,5.400538796806172,1.7755029649236e-05,2.6632547851536003e-06,0.0003600000143051136
851,0.0004717090945602875,0.0018949818987773024,0.005960555799782003,1.7510077421617884,5.520927763597957,1.8184949844132503e-05,2.7277428254825004e-06,0.00037500001490116
862,0.0001953991801351733,0.0007942393917165631,0.0025078936844345778,0.7389654868789168,2.329958336855472,7.6994959703684e-06,1.1549245296138e-06,0.00016500000655651038
868,0.0001065813709828218,0.00043322148639085263,0.001367942009691588,0.4030720837521365,1.2708863655575302,4.1997250747464e-06,6.299588343348e-07,9.00000035762784e-05
869,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
875,0.0001103788581200406,0.0005227595849822322,0.0014673443679202812,0.48157058875158926,1.5183921782132277,4.9008628173066e-06,7.351294362174e-07,9.00000035762784e-05
918,0.0007911195807966885,0.004060732794686523,0.010809228675604517,3.7658930810697933,11.873861694204326,3.79034404106023e-05,5.685516000835e-06,0.0006450000256299952
933,0.000297960521124525,0.0016033624004547884,0.004121737492024068,1.5232193189541714,4.802710687260968,1.5116543101852498e-05,2.2674815360069997e-06,0.00022500000894069597
963,0.00059592104224905,0.0032067248009095767,0.008243474984048135,3.046438637908343,9.605421374521937,3.0233086203704995e-05,4.534963072013999e-06,0.00045000001788139194
964,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
989,0.00043027899899024256,0.0017601432677413226,0.00556935944943541,1.6436965944219442,5.182575720225497,1.71558062393625e-05,2.5733712184900003e-06,0.00037500001490116
1010,0.00037303479843987634,0.0015162752023679842,0.004787797033920558,1.4107522931324779,4.448102279451356,1.4699037761612401e-05,2.2048559201718e-06,0.0003150000125169744
1038,0.0004509779908054904,0.0018706808943298198,0.005945589150711849,1.7608144855056422,5.551848477844254,1.84460753482404e-05,2.766911569244469e-06,0.0004200000166892992
1076,0.0006540240784651686,0.00267541776696681,0.008465426363141822,2.498418823521355,7.877515094742755,2.6076825483831e-05,3.9115242521048e-06,0.0005700000226497631
1132,0.0009328905531976295,0.003842041626034763,0.01218327252273129,3.601754887597476,11.356333966614477,3.76605804110816e-05,5.6490876451632e-06,0.0008400000333785984
1219,0.001305135273041032,0.005499647323732869,0.017566219818427042,5.222140423075487,16.465410025136517,5.49269793868458e-05,8.239047583894018e-06,0.0013050000518560366
1281,0.00119094785161507,0.004799306696700635,0.015007063548128214,4.42479892462883,13.951391891749278,4.5867159927192996e-05,6.8800748616468e-06,0.0009300000369548767
1296,0.0002664534274570545,0.0010830537159771316,0.00341985502422897,1.0076802093803412,3.1772159138938254,1.0499312686866e-05,1.574897085837e-06,0.00022500000894069597
1323,0.0004497865167202857,0.0018524129268381892,0.005874077823459729,1.7365603922344974,5.475375305331979,1.8157779841057198e-05,2.7236672574894e-06,0.0004050000160932528
1344,0.0003266330746968135,0.0013652558812407586,0.004349656963802019,1.2905637643960013,4.069147854450669,1.3546396509319802e-05,2.031959658096283e-06,0.0003150000125169744
1359,0.000241595352217227,0.0010021504791052605,0.003185137045024204,0.9432934743780225,2.9742045417022784,9.8818260794145e-06,1.482274054952394e-06,0.00022500000894069597
1373,0.0002689237084292094,0.0010837144153840145,0.003388691768932177,0.9991481442710263,3.1503142981369336,1.0357100628721e-05,1.5535652913396e-06,0.0002100000083446496
1405,0.0005854378044783296,0.002826924807538461,0.007835868556095292,2.603952622939895,8.210263234477601,2.6446005198591998e-05,3.9669008052224e-06,0.0004800000190734848
1436,0.0005506704167445793,0.002238311013019405,0.007067700383406538,2.0825390993860387,6.56624622204724,2.16985795528564e-05,3.2547873107298e-06,0.00046500001847743836
1482,0.000715481973145401,0.002990560501765471,0.009527820015947278,2.826949198200764,8.913371490701465,2.9673059020414802e-05,4.450959251068048e-06,0.0006900000274181344
1515,0.0005132805459521356,0.0021454020990926206,0.006835175228831743,2.0280287726222874,6.394375199851051,2.1287194514645403e-05,3.1930794627227302e-06,0.0004950000196695312
1574,0.0009828668328332169,0.004047865284572339,0.012835947836449037,3.7947060422901977,11.96470900054025,3.9678111504532396e-05,5.9517173404398e-06,0.0008850000351667375
1583,0.0001350139937628654,0.0005689290334896072,0.0018171951536303836,0.5402214230767746,1.7033182784623981,5.6821013158806e-06,8.523152672993812e-07,0.00013500000536441757
1586,4.66618678138305e-05,0.0001950365544629655,0.0006213795662574312,0.1843662520565716,0.5813068363500956,1.9351995013314003e-06,2.902799511566118e-07,4.50000017881392e-05
1605,0.0003591798243194357,0.0015399990673548494,0.004616808208144466,1.4193568141141704,4.4752323367658775,1.46048153979567e-05,2.1907224929942e-06,0.00028500001132488156
1654,0.0008433468380208754,0.0034498808047729924,0.010915944520893403,3.2216453250670107,10.157848411641975,3.3625380229150503e-05,5.0438075882404005e-06,0.0007350000292062736
1718,0.0009600995112025984,0.004045717571481651,0.012922276648038284,3.841574564101508,12.112485535732612,4.04060538018176e-05,6.060908567462267e-06,0.0009600000381469695
1733,0.000241595352217227,0.0010021504791052605,0.003185137045024204,0.9432934743780225,2.9742045417022784,9.8818260794145e-06,1.482274054952394e-06,0.00022500000894069597
1786,0.0008243596647110055,0.0034456457955123906,0.010977705670547951,3.257137119666098,10.269754108851687,3.4188524523521404e-05,5.128279137100142e-06,0.0007950000315904591
1817,0.0005923260262761629,0.0024373123010310123,0.007513250221019812,2.2468639192734887,7.0843623957724535,2.32320234808443e-05,3.4848039126741e-06,0.00046500001847743836
1866,0.0006809408828750151,0.00292131343454005,0.009382455011553516,2.800985676405981,8.831508560782723,2.95911377825623e-05,4.438670961440578e-06,0.0007350000292062736
1984,0.0017050001468822604,0.007247145735961957,0.023209965533515547,6.914066957565829,21.80005484991025,7.28794763418458e-05,1.093192226369038e-05,0.001770000070333475
2005,0.0003382334931041178,0.0014030106707473649,0.004459191863033887,1.3206108641292316,4.16388635838319,1.38345565111803e-05,2.0751836769333517e-06,0.0003150000125169744
2021,0.00023118646059420482,0.0009826638286050112,0.003147113970646176,0.9375006044157058,2.9559396406657967,9.8819628938096e-06,1.4822945442292042e-06,0.0002400000095367424
2057,0.0006915181073893955,0.0027866942109874655,0.008713778834397027,2.569238085268353,8.100808195209257,2.6632544473854e-05,3.9948821777304e-06,0.0005400000214576703
2150,0.0017014286192651453,0.008215750221908652,0.022772992991151944,7.567737310419069,23.86107752520053,7.685870260840799e-05,1.1528805465177599e-05,0.0013950000554323152
2184,0.0006220276672582253,0.003003607608009615,0.008325610340851249,2.7666996618736386,8.723404686632453,2.8098880523504002e-05,4.2148321055488e-06,0.0005100000202655776
2185,1.7763561830470303e-05,7.22035810651421e-05,0.000227990334948598,0.06717868062535608,0.21181439425958837,6.999541791244e-07,1.049931390558e-07,1.50000005960464e-05
2280,0.0018151926611688861,0.007469182857998264,0.02302447648377039,6.88555072035424,21.710142825754293,7.11949106671035e-05,1.06792377969045e-05,0.001425000056624408
2321,0.0007417654939944745,0.0037216113059407537,0.010065413419423018,3.4274782471248493,10.806839745565862,3.4673374547289e-05,5.2010060936953e-06,0.0006150000244379024
2346,0.00047006640791445004,0.0020566846307724677,0.006082585085410293,1.8953686222868864,5.976097677054911,1.9457542188355004e-05,2.9186315325525e-06,0.00037500001490116
2368,0.000413658438964716,0.0018098824750797714,0.005352674875161057,1.6679243876124599,5.258965955808321,1.71226371257524e-05,2.5683957486462e-06,0.00033000001311302076
2369,1.66587598785291e-05,6.860788617919219e-05,0.0002175584379059159,0.06431705156424064,0.2027916779752585,6.725103644835999e-07,1.0087656509220001e-07,1.50000005960464e-05
2393,0.00036003731670097443,0.001517144089305619,0.004845853743014356,1.4405904615380656,4.542182075899729,1.5152270175681601e-05,2.27284071279835e-06,0.0003600000143051136
2451,0.0008380509196539925,0.0035621563786931657,0.011408288143592389,3.3984396910069337,10.715281197413512,3.58221154900598e-05,5.373317722830865e-06,0.0008700000345706911
2493,0.0006300653042267052,0.0026550021562848337,0.008480244050275124,2.521033307691615,7.948818632824526,2.6516472807442803e-05,3.977471247397113e-06,0.0006300000250339488
2526,0.00042213437507319544,0.001848757238964095,0.005974543629862226,1.7919443495831369,5.650001026001397,1.90230795622494e-05,2.8534620740502004e-06,0.0004950000196695312
2541,0.00022502332293810898,0.0009482150558160119,0.0030286585893839727,0.900369038461291,2.8388637974373303,9.470168859801e-06,1.4205254454989688e-06,0.00022500000894069597
2577,0.0005798288453213447,0.0024051611498526254,0.00764432890805809,2.263904338507254,7.138090900085468,2.3716382590594796e-05,3.5574577318857452e-06,0.0005400000214576703
2608,0.000595473925807535,0.0023996533483503176,0.007503531774064107,2.212399462314415,6.975695945874639,2.2933579963596498e-05,3.4400374308234e-06,0.00046500001847743836
2646,0.0007260770644675544,0.0029876731431993054,0.009209790593508157,2.754220288141696,8.684057130301717,2.8477964266841398e-05,4.2716951187618e-06,0.0005700000226497631
