distance(m),HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0009935791408503375,0.004088394827535892,0.012602871338484846,3.76893302587811,11.883446599360244,3.89698458388356e-05,5.845477530937199e-06,0.0007800000309944128
54,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
239,0.0035348488664867783,0.014545250828733461,0.044837138415763395,13.408704034374047,42.277646555416254,0.00013864272077278048,2.07964104466035e-05,0.002775000110268584
240,1.91072911701988e-05,7.862297745261331e-05,0.0002423629103554778,0.07247948126688673,0.22852781921846627,7.494201122852999e-07,1.124130294411e-07,1.50000005960464e-05
454,0.0040889603104225436,0.016825317174859248,0.05186566281607225,15.510608991113761,48.90495331275178,0.00016037590402905418,2.40563883003954e-05,0.0032100001275539294
455,1.72111599596097e-05,7.04057307096529e-05,0.0002227743779774164,0.06574786377687776,0.20730302880901988,6.862322495745001e-07,1.029348487396e-07,1.50000005960464e-05
480,0.00034741881779337506,0.0014904660380306376,0.004786966842629345,1.429074324696929,4.505871714685063,1.5097519276817502e-05,2.264628041551315e-06,0.00037500001490116
513,0.00047682207497554743,0.0020267441464978356,0.006490922564457738,1.9335949966073933,6.096625508873205,2.03815484684823e-05,3.0572324974727335e-06,0.0004950000196695312
556,0.0006925733430227174,0.0028728313734350803,0.009130726195736053,2.7041079598836646,8.52605301954653,2.8327901427654897e-05,4.249185624196863e-06,0.0006450000256299952
618,0.0008615986681275701,0.003696355774315981,0.011871677769720776,3.544104325248384,11.174561852418956,3.74418478065074e-05,5.616277543047261e-06,0.0009300000369548767
628,0.00015001554862540602,0.000632143370544008,0.0020191057262559818,0.6002460256408607,1.8925758649582205,6.313445906534001e-06,9.470169636659791e-07,0.000150000005960464
658,0.000433474613614134,0.001842494678634396,0.00590083869496158,1.7578136332794483,5.542386826248368,1.8528680425893e-05,2.7793022704297576e-06,0.00045000001788139194
704,0.0006392506247398101,0.002742457509976373,0.008808018990437995,2.6294967574423493,8.290803955020515,2.77794354693442e-05,4.16691559645442e-06,0.0006900000274181344
801,0.0015087337259805196,0.006306181927635885,0.020091272642323608,5.9611754831624815,18.79558770865309,6.257145054304861e-05,9.385718420730448e-06,0.0014550000578165008
824,0.0004085619221008169,0.0016606823644982683,0.005243777703817754,1.5451096543831897,4.871731067970533,1.60989461198612e-05,2.4148421982834e-06,0.0003450000137090672
848,0.0004263254839312872,0.0017328859455634105,0.005471768038766352,1.612288335008546,5.083545462230121,1.67989002989856e-05,2.5198353373392e-06,0.0003600000143051136
849,1.61063568144818e-05,6.68100319403507e-05,0.0002123424696682803,0.0628862316252015,0.1982803027801519,6.587884052942999e-07,9.88182703301596e-08,1.50000005960464e-05
1006,0.0022685171445806346,0.009642388818186673,0.030881055836965602,9.199224680829113,29.00515772403313,9.696676089550671e-05,1.4545015215249066e-05,0.002355000093579285
1051,0.000675069968814327,0.0028446451674480357,0.009085975768151918,2.701107115383873,8.516591392311991,2.8410506579403e-05,4.2615763364969065e-06,0.000675000026822088
1140,0.001236810991344415,0.005306059095389069,0.017041601959760466,5.087504595921067,16.04090330427882,5.37471686254703e-05,8.062075827922681e-06,0.0013350000530481295
1155,0.000208451290676025,0.0008942796228183825,0.0028721801055776068,0.8574445948181574,2.7035230288110372,9.0585115660905e-06,1.3587768249307889e-06,0.00022500000894069597
1243,0.00122291423863268,0.005246440453867844,0.016850123286055292,5.03034162293319,15.86066843569142,5.31432678543976e-05,7.971490706260628e-06,0.001320000052452083
1263,0.00030003109725081203,0.001264286741088016,0.0040382114525119635,1.2004920512817214,3.785151729916441,1.2626891813068002e-05,1.8940339273319583e-06,0.000300000011920928
1342,0.001097843464227065,0.0047098726801768145,0.01512681522270873,4.515874866042296,14.238554618404798,4.7708160914743306e-05,7.156224611302155e-06,0.0011850000470876657
1362,0.000266887036703932,0.001156415888037264,0.0037252545224540777,1.1146431742973233,3.514470225145648,1.1803577324444e-05,1.7705367010152719e-06,0.000300000011920928
1397,0.0005830565957485185,0.002401276016271727,0.007614545326707057,2.2510968047484226,7.097708729134048,2.3537862756926002e-05,3.5306797782270006e-06,0.000525000020861624
1496,0.0018214148488109806,0.009349128992417811,0.02488636369499645,8.670311977346735,27.33749552851694,8.726606048022391e-05,1.3089908932155e-05,0.0014850000590085936
1521,0.00047006640791445004,0.0020566846307724677,0.006082585085410293,1.8953686222868864,5.976097677054911,1.9457542188355004e-05,2.9186315325525e-06,0.00037500001490116
1535,0.000263237188432092,0.001151743393232582,0.003406247647829764,1.0614064284806564,3.34661469915075,1.08962236254788e-05,1.6344336582294001e-06,0.0002100000083446496
1536,1.4058283800196802e-05,5.8211906334294604e-05,0.0001905320808925228,0.056506103617726136,0.1781637366005238,5.874551983082e-07,8.811827965041087e-08,1.4967076533465301e-05
1591,0.0007549324697511575,0.0031040298153305152,0.010364991060122177,3.026032379263471,9.541079734813337,3.1638235933458e-05,4.7457353533276975e-06,0.00081239295116562
1608,0.00023475477881113981,0.0009669711506990377,0.0032125547267071726,0.9416402652280459,2.9689916390527116,9.831002927511201e-06,1.4746504302137498e-06,0.000251937532203432
1616,0.00010847940138149601,0.00044439523132119765,0.0014993242571541968,0.43420082174049074,1.369035145480579,4.5530669632472e-06,6.829600368649953e-07,0.0001173810636868848
1633,0.00023051872793567902,0.000944339866557545,0.0031860640464526683,0.9226767461985428,2.9091996841462304,9.6752672969003e-06,1.451290078338115e-06,0.00024943476033463026
1680,0.0006607393386092496,0.002735959597711846,0.008955007801948571,2.655786870033128,8.373695620224618,2.76103943204854e-05,4.141559143569311e-06,0.0007034525970728691
1741,0.0010836526203949612,0.0046777754025118445,0.01479152037181081,4.40019349946122,13.873811030407735,4.5997944493928895e-05,6.8996921329231e-06,0.0009150000363588303
1770,0.0005378764573750293,0.002336857750874416,0.007352858029271124,2.1875066231867066,6.897208969946276,2.2890967272699402e-05,3.4336453558057e-06,0.0004350000172853456
1780,0.000189387975432946,0.000825295312993711,0.0025907827263258972,0.7707973447111135,2.4303242555634372,8.069832166704e-06,1.2104749244130001e-06,0.000150000005960464
1808,0.00043167026263803403,0.0018198728935549064,0.005860267346081229,1.7428176050186652,5.49510390954635,1.81503703839472e-05,2.722555632750157e-06,0.0004200000166892992
1831,0.0003233405274045264,0.0013388738456887757,0.0043822378605280245,1.299640383207701,4.097765941812047,1.35114695610886e-05,2.02672043195945e-06,0.00034424276026970193
1853,0.0003074549295139036,0.0012708994351702879,0.004180278439710382,1.234953946882598,3.893809625068643,1.2856834359384399e-05,1.9285251486576186e-06,0.00032819605782157256
1909,0.000907169908371748,0.0038579476532641407,0.012340056870366004,3.6702641624617907,11.572343189023828,3.8276368162872e-05,5.741455465048801e-06,0.0008400000333785984
1944,0.000489132842408483,0.00202188546504364,0.006650442972266518,1.9646994609495883,6.194697130791024,2.0454054662657e-05,3.068108191046212e-06,0.0005221300919888655
1956,0.0001667059720491708,0.0006878928714469596,0.002273918781701053,0.6691492440955753,2.1098274790504163,6.9761751032664e-06,1.0464262609124718e-06,0.0001784271446764968
1972,0.0002404073968437776,0.0010087557511333936,0.0032602212524737986,0.969520276130708,3.0568973907478227,1.00894084456272e-05,1.5134112968909898e-06,0.0002400000095367424
2028,0.000759355809670472,0.0031107666192483835,0.010495269800079378,3.039405752183435,9.583246018364052,3.1871468742730395e-05,4.780720258054967e-06,0.0008216674458081936
2052,0.0003334119440983416,0.0013757857428939192,0.004547837563402106,1.3382984881911506,4.219654958100833,1.39523502065328e-05,2.0928525218249435e-06,0.0003568542893529936
2121,0.001252773008055915,0.005425681982435449,0.017113061534538038,5.091012597347301,16.051963941873872,5.3247588519829204e-05,7.9871388526188e-06,0.0010350000411272016
2202,0.0011853643192424794,0.004949018828857368,0.016056821510679345,4.774669717406313,15.054533212402811,4.96488241857456e-05,7.4473237146646025e-06,0.0012150000482797584
2217,0.00020838246506146347,0.0008598660893086995,0.002842398477126316,0.8364365551194691,2.6372843488130204,8.720218879083e-06,1.3080328261405896e-06,0.000223033930845621
2277,0.000854567642583336,0.0035490461426045997,0.011562055337019683,3.4378841227146792,10.839648186176408,3.5718536128559996e-05,5.357780435205049e-06,0.0009000000357627839
2346,0.0010907609115994835,0.0046191148055898775,0.014823043291002785,4.408545231025014,13.900143290004578,4.5944826914031904e-05,6.891724277950169e-06,0.0010350000411272016
2389,0.0006292674781163778,0.002627256909146504,0.008523991666163107,2.53470120800582,7.99191269300396,2.6356783209716798e-05,3.953517527537998e-06,0.0006450000256299952
2460,0.001066807823494263,0.004476353645654433,0.014467231807852478,4.302246225330016,13.56498217144346,4.477174997747069e-05,6.715762629953767e-06,0.0010650000423192943
2490,0.00041925672206441397,0.0017330446843231199,0.0057003796905141565,1.684028109385361,5.309740397820877,1.7532046853705998e-05,2.6298070208967528e-06,0.000447540078847599
2520,0.00041676493012292694,0.001719732178617399,0.005684796954252632,1.6728731102389383,5.274568697626041,1.7440437758166e-05,2.616065652281179e-06,0.000446067861691242
2569,0.0006847859793718762,0.0028306396510610963,0.009310620161173124,2.7505792453294236,8.672575983107434,2.86356765277198e-05,4.2953514674646965e-06,0.0007309821287844118
2598,0.0004584357454548553,0.0019413670922044412,0.006229974716508417,1.8528668362279048,5.842089208842504,1.9310144645027902e-05,2.896521797979056e-06,0.0004350000172853456
2631,0.0006508083482529652,0.002852057775434472,0.008914658566173975,2.6524304416539457,8.363114100640185,2.7794655150735002e-05,4.169198653870801e-06,0.0004950000196695312
2675,0.0006439016055144332,0.0026883559070336317,0.008722224030492482,2.593647747726886,8.177771127724982,2.69697316564544e-05,4.045459795620278e-06,0.0006600000262260415
2687,0.0001686994056023616,0.0006985428760115353,0.0022863849707102737,0.6780732434127136,2.1379648392062855,7.049462379698401e-06,1.0574193558049306e-06,0.0001796049184015836
2709,0.00028004520829002957,0.0011244618196898305,0.004008868279125952,1.1122489120981371,3.5069207836454726,1.1849133945681999e-05,1.7773700394704745e-06,0.00031200166327163896
2856,0.0018956307650696807,0.007643912198829316,0.02693924001873249,7.541164172296586,23.777290274653847,8.00715292277229e-05,1.2010729076143367e-05,0.002099166137911206
2945,0.0011476948169469496,0.00462794684146809,0.016310152120184978,4.56573885261494,14.395774383974098,4.84786809610023e-05,7.271801957665032e-06,0.001270923716150322
2946,1.4634127398055302e-05,6.1098997887128e-05,0.00019823236432937462,0.058946539721065595,0.18585843472102234,6.129484467376001e-07,9.194226808227904e-08,1.50000005960464e-05
3082,0.0017989653336797113,0.00731331885072266,0.025205945446176735,7.1791366699381705,22.635817367037042,7.574096025892881e-05,1.136114383156844e-05,0.001968781880644385
