route,distance(m),journey_duration(min),HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
route_2,6042,15.966666666666667,0.026855476422207238,2.472944315371533,0.19359802559683964,384.2588246194397,1211.5680878093017,0.006265483769830866,0.000939822634351483,0.09048837450574707
route_3,6125,17.183333333333334,0.02828987516596422,2.551099603981431,0.1998763699732814,403.98954153553166,1273.7790496253251,0.00672798704766958,0.0010091981357991681,0.09173337447791916
route_1,5508,14.666666666666666,0.025461105924357373,2.294854205121123,0.17868015646347646,360.2241059317602,1135.7866327029417,0.006072451954911334,0.0009108678630046721,0.08247837468478453
route_5,6464,20.283333333333335,0.028957046902350812,2.6690619401243207,0.21734634440309464,438.7779238693902,1383.4667823846457,0.006636277670003168,0.0009954417198904612,0.09694499783311056
route_4,5839,16.883333333333333,0.02638668323725956,2.4151363189189254,0.19198500728673476,385.6293772351386,1215.889433154607,0.006158724556173849,0.0009238087497924574,0.08756999804265812
