distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
1,32.00000148,22.99999968,Local
837,32.00000148,28.00000116,Local
893,32.00000148,22.99999968,Local
924,32.00000148,18.0,Local
934,32.00000148,18.0,Local
935,32.00000148,13.00000032,Local
972,32.00000148,25.00000092,Local
1003,32.00000148,21.0000006,Local
1026,32.00000148,19.00000116,Local
1054,32.00000148,19.00000116,Local
1055,32.00000148,20.00000088,Local
1077,32.00000148,24.000001200000003,Local
1082,32.00000148,27.0,Local
1108,32.00000148,34.00000092,Local
1267,32.00000148,30.000002400000003,Local
1299,32.00000148,28.00000116,Local
1375,32.00000148,20.00000088,Local
1503,32.00000148,24.000001200000003,Local
1569,32.00000148,18.0,Local
1620,32.00000148,22.99999968,Local
1637,32.00000148,18.0,Local
1664,32.00000148,18.0,Local
1665,32.00000148,20.00000088,Trunk
1704,32.00000148,18.0,Trunk
1760,32.00000148,22.00000032,Trunk
1781,32.00000148,24.000001200000003,Trunk
1816,32.00000148,17.000000280000002,Trunk
1840,32.00000148,22.99999968,Trunk
1861,32.00000148,14.00000076,Trunk
1884,32.00000148,17.000000280000002,Trunk
1966,32.00000148,22.99999968,Trunk
2058,32.00000148,20.00000088,Trunk
2129,32.00000148,14.00000076,Trunk
2141,32.00000148,20.00000088,Trunk
2165,32.00000148,13.00000032,Trunk
2201,32.00000148,22.99999968,Trunk
2213,32.00000148,22.00000032,Trunk
2272,32.00000148,22.99999968,Trunk
2300,32.00000148,26.00000028,Trunk
2323,32.00000148,28.00000116,Trunk
2333,32.00000148,22.99999968,Trunk
2356,32.00000148,27.0,Trunk
2370,32.00000148,22.99999968,Trunk
2400,32.00000148,26.00000028,Trunk
2445,32.00000148,20.00000088,Trunk
2449,32.00000148,22.99999968,Trunk
2456,32.00000148,20.00000088,Trunk
2466,32.00000148,20.00000088,Trunk
2496,32.00000148,30.000002400000003,Trunk
2600,32.00000148,30.000002400000003,Trunk
2642,32.00000148,28.99999908,Trunk
2695,32.00000148,27.0,Trunk
2727,32.00000148,18.0,Trunk
2794,32.00000148,22.99999968,Trunk
2809,32.00000148,27.0,Trunk
2819,32.00000148,28.99999908,Trunk
2842,32.00000148,18.0,Trunk
2912,32.00000148,27.0,Trunk
2947,32.00000148,31.000001759999996,Trunk
3092,32.00000148,21.0000006,Trunk
3159,32.00000148,26.00000028,Trunk
3180,32.00000148,30.000002400000003,Trunk
3193,32.00000148,32.00000148,Trunk
3235,32.00000148,36.0,Trunk
3252,32.00000148,33.0000012,Trunk
3260,32.00000148,31.000001759999996,Trunk
3277,32.00000148,31.000001759999996,Trunk
3324,32.00000148,27.0,Trunk
3385,32.00000148,22.00000032,Trunk
3414,32.00000148,16.00000092,Trunk
3424,32.00000148,19.00000116,Trunk
3452,32.00000148,26.00000028,Trunk
3475,32.00000148,27.0,Trunk
3497,32.00000148,21.0000006,Trunk
3553,32.00000148,20.00000088,Trunk
3588,32.00000148,28.99999908,Trunk
3600,32.00000148,31.000001759999996,Trunk
3616,32.00000148,22.00000032,Trunk
3672,32.00000148,31.000001759999996,Trunk
3696,32.00000148,31.000001759999996,Trunk
3730,32.00000148,28.00000116,Trunk
3765,32.00000148,21.0000006,Trunk
3846,32.00000148,28.99999908,Trunk
3861,32.00000148,31.000001759999996,Trunk
3921,32.00000148,26.00000028,Trunk
3990,32.00000148,16.00000092,Trunk
4033,32.00000148,19.00000116,Trunk
4104,32.00000148,28.99999908,Trunk
4134,32.00000148,26.00000028,Trunk
4164,32.00000148,27.0,Trunk
4213,32.00000148,25.00000092,Trunk
4242,32.00000148,20.00000088,Trunk
4275,32.00000148,17.000000280000002,Trunk
4319,32.00000148,30.000002400000003,Trunk
4331,32.00000148,32.00000148,Trunk
4353,48.00000240000001,43.00000092,Trunk
4455,48.00000240000001,44.00000028,Trunk
4500,48.00000240000001,35.00000028,Trunk
4577,48.00000240000001,39.00000240000001,Trunk
4589,48.00000240000001,39.00000240000001,Trunk
4590,48.00000240000001,20.00000088,Trunk
4726,48.00000240000001,40.00000176,Trunk
4732,48.00000240000001,36.99999972,Trunk
4776,48.00000240000001,28.99999908,Trunk
4853,48.00000240000001,24.000001200000003,Trunk
4868,48.00000240000001,28.99999908,Trunk
4880,48.00000240000001,18.0,Trunk
5043,48.00000240000001,18.0,Trunk
5147,48.00000240000001,18.0,Trunk
5176,48.00000240000001,21.0000006,Trunk
5233,48.00000240000001,21.0000006,Trunk
5234,32.00000148,15.000001200000002,Access
5248,32.00000148,15.000001200000002,Access
5285,32.00000148,14.00000076,Access
5304,32.00000148,17.000000280000002,Access
5311,32.00000148,21.0000006,Access
5322,32.00000148,21.0000006,Access
5349,32.00000148,24.000001200000003,Access
5383,32.00000148,26.00000028,Access
5394,32.00000148,25.00000092,Access
5433,32.00000148,26.00000028,Access
5507,32.00000148,26.00000028,Access
5508,,,Local
