distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
1,32.00000148,22.99999968,Local
57,32.00000148,22.99999968,Local
58,32.00000148,22.99999968,Local
173,32.00000148,22.99999968,Local
174,32.00000148,22.99999968,Local
324,32.00000148,17.000000280000002,Local
419,32.00000148,26.00000028,Local
486,32.00000148,20.00000088,Local
525,32.00000148,22.99999968,Local
590,32.00000148,15.000001200000002,Local
624,32.00000148,15.000001200000002,Local
654,32.00000148,18.0,Local
676,32.00000148,17.000000280000002,Local
713,32.00000148,16.00000092,Local
725,32.00000148,13.00000032,Local
761,32.00000148,11.00000016,Local
778,32.00000148,14.00000076,Local
815,32.00000148,14.00000076,Local
816,32.00000148,24.000001200000003,Local
844,32.00000148,26.00000028,Local
866,32.00000148,18.0,Local
917,32.00000148,27.0,Local
931,32.00000148,30.000002400000003,Local
960,32.00000148,24.000001200000003,Local
1087,32.00000148,24.000001200000003,Local
1088,32.00000148,25.00000092,Local
1130,32.00000148,16.00000092,Local
1181,32.00000148,28.99999908,Local
1278,32.00000148,13.00000032,Local
1333,32.00000148,31.000001759999996,Local
1365,32.00000148,32.00000148,Local
1471,32.00000148,28.00000116,Local
1502,32.00000148,18.0,Local
1552,32.00000148,22.00000032,Local
1659,32.00000148,30.000002400000003,Local
1676,32.00000148,30.000002400000003,Local
1739,32.00000148,20.00000088,Local
1835,32.00000148,15.000001200000002,Local
1867,32.00000148,12.000000600000002,Local
1903,32.00000148,17.000000280000002,Local
1912,32.00000148,17.000000280000002,Local
1913,32.00000148,13.00000032,Local
1947,32.00000148,11.00000016,Local
1985,32.00000148,14.00000076,Local
2006,32.00000148,14.00000076,Local
2027,32.00000148,14.00000076,Local
2028,32.00000148,15.000001200000002,Local
2063,32.00000148,15.000001200000002,Local
2092,32.00000148,15.000001200000002,Local
2121,32.00000148,15.000001200000002,Local
2146,32.00000148,15.000001200000002,Local
2151,32.00000148,15.000001200000002,Local
2163,32.00000148,20.00000088,Local
2201,32.00000148,15.000001200000002,Local
2224,32.00000148,21.0000006,Local
2276,32.00000148,16.00000092,Local
2316,32.00000148,15.000001200000002,Local
2346,32.00000148,13.00000032,Local
2389,32.00000148,18.0,Local
2428,32.00000148,21.0000006,Local
2435,32.00000148,24.000001200000003,Local
2461,32.00000148,22.00000032,Local
2526,32.00000148,20.00000088,Local
2568,32.00000148,18.0,Local
2577,32.00000148,20.00000088,Local
2590,32.00000148,21.0000006,Local
2601,32.00000148,17.000000280000002,Local
2625,32.00000148,20.00000088,Local
2643,32.00000148,17.000000280000002,Local
2702,32.00000148,20.00000088,Local
2759,32.00000148,15.000001200000002,Local
2817,32.00000148,20.00000088,Local
2835,32.00000148,15.000001200000002,Local
2882,32.00000148,20.00000088,Local
2889,32.00000148,12.000000600000002,Local
2931,32.00000148,18.0,Local
2953,32.00000148,17.000000280000002,Local
3001,32.00000148,12.000000600000002,Local
3042,32.00000148,21.0000006,Local
3067,32.00000148,25.00000092,Local
3086,32.00000148,22.99999968,Local
3122,32.00000148,24.000001200000003,Local
3187,32.00000148,28.99999908,Local
3242,32.00000148,25.00000092,Local
