distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
3312,32.00000148,27.0,Trunk
3344,32.00000148,18.0,Trunk
3411,32.00000148,22.99999968,Trunk
3426,32.00000148,26.00000028,Trunk
3436,32.00000148,28.99999908,Trunk
3459,32.00000148,18.0,Trunk
3529,32.00000148,27.0,Trunk
3564,32.00000148,31.000001759999996,Trunk
3709,32.00000148,21.0000006,Trunk
3776,32.00000148,26.00000028,Trunk
3797,32.00000148,30.000002400000003,Trunk
3810,32.00000148,32.00000148,Trunk
3852,32.00000148,36.0,Trunk
3869,32.00000148,33.0000012,Trunk
3877,32.00000148,30.000002400000003,Trunk
3894,32.00000148,30.000002400000003,Trunk
3941,32.00000148,27.0,Trunk
4002,32.00000148,22.00000032,Trunk
4031,32.00000148,16.00000092,Trunk
4041,32.00000148,19.00000116,Trunk
4069,32.00000148,26.00000028,Trunk
4092,32.00000148,27.0,Trunk
4114,32.00000148,20.00000088,Trunk
4170,32.00000148,20.00000088,Trunk
4205,32.00000148,28.99999908,Trunk
4217,32.00000148,31.000001759999996,Trunk
4233,32.00000148,22.00000032,Trunk
4289,32.00000148,30.000002400000003,Trunk
4313,32.00000148,31.000001759999996,Trunk
4347,32.00000148,28.00000116,Trunk
4382,32.00000148,21.0000006,Trunk
4463,32.00000148,28.99999908,Trunk
4478,32.00000148,31.000001759999996,Trunk
4538,32.00000148,26.00000028,Trunk
4607,32.00000148,16.00000092,Trunk
4650,32.00000148,19.00000116,Trunk
4721,32.00000148,28.99999908,Trunk
4751,32.00000148,26.00000028,Trunk
4781,32.00000148,27.0,Trunk
4830,32.00000148,25.00000092,Trunk
4859,32.00000148,20.00000088,Trunk
4892,32.00000148,17.000000280000002,Trunk
4936,32.00000148,30.000002400000003,Trunk
4948,32.00000148,32.00000148,Trunk
4970,48.00000240000001,43.00000092,Trunk
5072,48.00000240000001,44.00000028,Trunk
5117,48.00000240000001,35.00000028,Trunk
5194,48.00000240000001,39.00000240000001,Trunk
5206,48.00000240000001,39.00000240000001,Trunk
5207,48.00000240000001,20.00000088,Trunk
5343,48.00000240000001,40.00000176,Trunk
5349,48.00000240000001,36.99999972,Trunk
5393,48.00000240000001,28.99999908,Trunk
5470,48.00000240000001,24.000001200000003,Trunk
5485,48.00000240000001,28.99999908,Trunk
5497,48.00000240000001,18.0,Trunk
5660,48.00000240000001,18.0,Trunk
5764,48.00000240000001,18.0,Trunk
5793,48.00000240000001,21.0000006,Trunk
5850,48.00000240000001,21.0000006,Trunk
5851,32.00000148,15.000001200000002,Access
5865,32.00000148,15.000001200000002,Access
5902,32.00000148,14.00000076,Access
5921,32.00000148,17.000000280000002,Access
5928,32.00000148,21.0000006,Access
5939,32.00000148,21.0000006,Access
5966,32.00000148,24.000001200000003,Access
6000,32.00000148,26.00000028,Access
6011,32.00000148,25.00000092,Access
6050,32.00000148,26.00000028,Access
6124,32.00000148,26.00000028,Access
6125,,,Local
