distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
1,32.00000148,22.99999968,Local
57,32.00000148,22.99999968,Local
58,32.00000148,22.99999968,Local
173,32.00000148,22.99999968,Local
174,32.00000148,22.99999968,Local
324,32.00000148,17.000000280000002,Local
419,32.00000148,26.00000028,Local
486,32.00000148,20.00000088,Local
525,32.00000148,22.99999968,Local
590,32.00000148,15.000001200000002,Local
624,32.00000148,15.000001200000002,Local
654,32.00000148,18.0,Local
676,32.00000148,17.000000280000002,Local
713,32.00000148,16.00000092,Local
725,32.00000148,13.00000032,Local
761,32.00000148,11.00000016,Local
778,32.00000148,14.00000076,Local
815,32.00000148,14.00000076,Local
816,32.00000148,24.000001200000003,Local
844,32.00000148,26.00000028,Local
866,32.00000148,18.0,Local
917,32.00000148,27.0,Local
930,32.00000148,27.0,Local
931,32.00000148,27.0,Local
997,32.00000148,16.00000092,Local
1030,32.00000148,27.0,Local
1048,32.00000148,30.000002400000003,Local
1067,32.00000148,30.000002400000003,Local
1084,32.00000148,28.99999908,Local
1171,32.00000148,31.000001759999996,Local
1200,32.00000148,26.00000028,Local
1253,32.00000148,32.00000148,Local
1282,32.00000148,26.00000028,Local
1343,32.00000148,25.00000092,Local
1425,32.00000148,17.000000280000002,Local
1522,32.00000148,17.000000280000002,Local
1532,32.00000148,15.000001200000002,Local
1557,32.00000148,22.99999968,Local
1589,32.00000148,24.000001200000003,Local
1620,32.00000148,20.00000088,Local
1643,32.00000148,19.00000116,Local
1671,32.00000148,19.00000116,Local
1672,32.00000148,20.00000088,Local
1694,32.00000148,24.000001200000003,Local
1699,32.00000148,27.0,Local
1725,32.00000148,34.00000092,Local
1884,32.00000148,30.000002400000003,Local
1916,32.00000148,27.0,Local
1992,32.00000148,20.00000088,Local
2120,32.00000148,24.000001200000003,Local
2186,32.00000148,18.0,Local
2237,32.00000148,22.99999968,Local
2254,32.00000148,18.0,Local
2281,32.00000148,18.0,Local
2282,32.00000148,20.00000088,Trunk
2321,32.00000148,18.0,Trunk
2377,32.00000148,22.00000032,Trunk
2398,32.00000148,22.99999968,Trunk
2433,32.00000148,17.000000280000002,Trunk
2457,32.00000148,22.99999968,Trunk
2478,32.00000148,14.00000076,Trunk
2501,32.00000148,17.000000280000002,Trunk
2583,32.00000148,22.99999968,Trunk
2675,32.00000148,20.00000088,Trunk
2746,32.00000148,14.00000076,Trunk
2758,32.00000148,20.00000088,Trunk
2782,32.00000148,13.00000032,Trunk
2818,32.00000148,22.99999968,Trunk
2830,32.00000148,22.00000032,Trunk
2889,32.00000148,22.99999968,Trunk
2917,32.00000148,26.00000028,Trunk
2940,32.00000148,28.00000116,Trunk
2950,32.00000148,22.99999968,Trunk
2973,32.00000148,27.0,Trunk
2987,32.00000148,22.99999968,Trunk
3017,32.00000148,26.00000028,Trunk
3062,32.00000148,20.00000088,Trunk
3066,32.00000148,22.99999968,Trunk
3073,32.00000148,20.00000088,Trunk
3083,32.00000148,20.00000088,Trunk
3113,32.00000148,30.000002400000003,Trunk
3217,32.00000148,30.000002400000003,Trunk
3259,32.00000148,28.99999908,Trunk
