distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type
1,32.00000148,22.99999968,Local
225,32.00000148,22.99999968,Local
226,32.00000148,22.99999968,Local
565,32.00000148,22.99999968,Local
566,32.00000148,36.0,Local
634,32.00000148,35.00000028,Local
686,32.00000148,36.99999972,Local
795,32.00000148,30.000002400000003,Local
805,32.00000148,19.00000116,Local
869,32.00000148,28.00000116,Local
894,32.00000148,34.00000092,Local
927,32.00000148,33.0000012,Local
970,32.00000148,30.000002400000003,Local
1032,32.00000148,34.00000092,Local
1042,32.00000148,32.00000148,Local
1072,32.00000148,33.0000012,Local
1118,32.00000148,34.00000092,Local
1215,32.00000148,31.000001759999996,Local
1238,32.00000148,27.0,Local
1262,32.00000148,27.0,Local
1263,32.00000148,30.000002400000003,Local
1420,32.00000148,33.0000012,Local
1465,32.00000148,32.00000148,Local
1554,32.00000148,34.00000092,Local
1569,32.00000148,34.00000092,Local
1657,32.00000148,34.00000092,Local
1677,32.00000148,32.00000148,Local
1756,32.00000148,34.00000092,Local
1776,32.00000148,35.00000028,Local
1811,32.00000148,28.99999908,Local
1910,32.00000148,12.000000600000002,Local
1935,32.00000148,20.00000088,Local
1949,32.00000148,20.00000088,Local
1950,32.00000148,32.00000148,Trunk
2005,32.00000148,36.0,Trunk
2022,32.00000148,35.00000028,Trunk
2030,32.00000148,38.00000268,Trunk
2047,32.00000148,38.00000268,Trunk
2094,32.00000148,32.00000148,Trunk
2155,32.00000148,22.00000032,Trunk
2184,32.00000148,20.00000088,Trunk
2194,32.00000148,19.00000116,Trunk
2222,32.00000148,28.00000116,Trunk
2245,32.00000148,32.00000148,Trunk
2267,32.00000148,34.00000092,Trunk
2323,32.00000148,26.00000028,Trunk
2358,32.00000148,33.0000012,Trunk
2370,32.00000148,34.00000092,Trunk
2386,32.00000148,28.99999908,Trunk
2442,32.00000148,38.00000268,Trunk
2466,32.00000148,34.00000092,Trunk
2535,32.00000148,21.0000006,Trunk
2616,32.00000148,30.000002400000003,Trunk
2631,32.00000148,34.00000092,Trunk
2691,32.00000148,31.000001759999996,Trunk
2760,32.00000148,27.0,Trunk
2803,32.00000148,30.000002400000003,Trunk
2874,32.00000148,28.99999908,Trunk
2904,32.00000148,33.0000012,Trunk
2934,32.00000148,34.00000092,Trunk
2983,32.00000148,33.0000012,Trunk
3012,32.00000148,27.0,Trunk
3045,32.00000148,17.000000280000002,Trunk
3089,32.00000148,30.000002400000003,Trunk
3101,32.00000148,32.00000148,Trunk
3123,48.00000240000001,48.00000240000001,Trunk
3270,48.00000240000001,45.99999972,Trunk
3359,48.00000240000001,45.99999972,Trunk
3360,48.00000240000001,30.000002400000003,Trunk
3496,48.00000240000001,42.0000012,Trunk
3502,48.00000240000001,43.00000092,Trunk
3546,48.00000240000001,45.99999972,Trunk
3606,48.00000240000001,47.00000268,Trunk
3623,48.00000240000001,47.00000268,Trunk
3638,48.00000240000001,47.00000268,Trunk
3650,48.00000240000001,44.00000028,Trunk
3813,48.00000240000001,40.00000176,Trunk
3917,48.00000240000001,28.00000116,Trunk
3946,48.00000240000001,21.0000006,Trunk
4003,48.00000240000001,21.0000006,Trunk
4004,32.00000148,21.0000006,Access
4018,32.00000148,20.00000088,Access
4055,32.00000148,22.00000032,Access
4074,32.00000148,25.00000092,Access
4081,32.00000148,27.0,Access
4092,32.00000148,28.00000116,Access
4119,32.00000148,28.00000116,Access
4153,32.00000148,32.00000148,Access
4164,32.00000148,34.00000092,Access
4203,32.00000148,33.0000012,Access
4277,32.00000148,33.0000012,Access
4278,,,Local
