distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type,HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
225,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
226,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
565,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
566,32.00000148,36.0,Local,0.012791950759793835,0.05602294663527561,0.18104677666249172,54.30134392676172,171.21215230307263,0.000576456956431857,8.646854769849092e-05,0.0150000005960464
634,32.00000148,35.00000028,Local,0.013344351835196657,0.05782079440186326,0.18626272612270392,55.732158714866166,175.7235112572824,0.0005901788662222346,8.852683505076359e-05,0.0150000005960464
686,32.00000148,36.99999972,Local,0.012239549684391011,0.054225098868687954,0.17583082720227952,52.87052913865726,166.70079334886287,0.0005627350466414795,8.441026034621826e-05,0.0150000005960464
795,32.00000148,30.000002400000003,Local,0.016106356814481894,0.06681003194035079,0.21234246966828033,62.8862316252015,198.2803027801519,0.0006587884052943445,9.88182703301596e-05,0.0150000005960464
805,32.00000148,19.00000116,Local,0.018701111353185734,0.08348218796943692,0.24361690114100948,76.92649956641564,242.54927012408353,0.0007879288804391326,0.00011818933876245857,0.0150000005960464
869,32.00000148,28.00000116,Local,0.017211159959609756,0.07040573070965299,0.22277437797741645,65.74786377687776,207.30302880901988,0.0006862322495745442,0.00010293484873962321,0.0150000005960464
894,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
927,32.00000148,33.0000012,Local,0.014449153787137865,0.0614164892878132,0.19669462316538605,58.59378777598161,184.74622754161228,0.0006176226808631008,9.264340901432526e-05,0.0150000005960464
970,32.00000148,30.000002400000003,Local,0.016106356814481894,0.06681003194035079,0.21234246966828033,62.8862316252015,198.2803027801519,0.0006587884052943445,9.88182703301596e-05,0.0150000005960464
1032,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
1042,32.00000148,32.00000148,Local,0.015001554862540688,0.06321433705440085,0.20191057262559825,60.02460256408607,189.25758649582204,0.0006313445906534783,9.470169636659792e-05,0.0150000005960464
1072,32.00000148,33.0000012,Local,0.014449153787137865,0.0614164892878132,0.19669462316538605,58.59378777598161,184.74622754161228,0.0006176226808631008,9.264340901432526e-05,0.0150000005960464
1118,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
1215,32.00000148,31.000001759999996,Local,0.015553955937943516,0.06501218482098851,0.20712652208581048,61.45541735219053,193.76894545003185,0.000645066500443856,9.67599837188706e-05,0.0150000005960464
1238,32.00000148,27.0,Local,0.017763561830470353,0.07220358106514216,0.227990334948598,67.17868062535608,211.81439425958837,0.0006999541791244774,0.00010499313905583049,0.0150000005960464
1262,32.00000148,27.0,Local,0.017763561830470353,0.07220358106514216,0.227990334948598,67.17868062535608,211.81439425958837,0.0006999541791244774,0.00010499313905583049,0.0150000005960464
1263,32.00000148,30.000002400000003,Local,0.016106356814481894,0.06681003194035079,0.21234246966828033,62.8862316252015,198.2803027801519,0.0006587884052943445,9.88182703301596e-05,0.0150000005960464
1420,32.00000148,33.0000012,Local,0.014449153787137865,0.0614164892878132,0.19669462316538605,58.59378777598161,184.74622754161228,0.0006176226808631008,9.264340901432526e-05,0.0150000005960464
1465,32.00000148,32.00000148,Local,0.015001554862540688,0.06321433705440085,0.20191057262559825,60.02460256408607,189.25758649582204,0.0006313445906534783,9.470169636659792e-05,0.0150000005960464
1554,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
1569,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
1657,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
1677,32.00000148,32.00000148,Local,0.015001554862540688,0.06321433705440085,0.20191057262559825,60.02460256408607,189.25758649582204,0.0006313445906534783,9.470169636659792e-05,0.0150000005960464
1756,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
1776,32.00000148,35.00000028,Local,0.013344351835196657,0.05782079440186326,0.18626272612270392,55.732158714866166,175.7235112572824,0.0005901788662222346,8.852683505076359e-05,0.0150000005960464
1811,32.00000148,28.99999908,Local,0.016658759878529147,0.06860788617919222,0.2175584379059159,64.31705156424064,202.7916779752585,0.0006725103644836112,0.00010087656509226881,0.0150000005960464
1910,32.00000148,12.000000600000002,Local,0.01839812978596953,0.09443564638805875,0.2513774110605702,87.57890886208823,276.13631846986806,0.0008814753583861861,0.00013222130234502257,0.0150000005960464
1935,32.00000148,20.00000088,Local,0.01880265631657806,0.08226738523089874,0.24330340341641177,75.81474489147546,239.04390708219643,0.0007783016875342388,0.00011674526130215864,0.0150000005960464
1949,32.00000148,20.00000088,Local,0.01880265631657806,0.08226738523089874,0.24330340341641177,75.81474489147546,239.04390708219643,0.0007783016875342388,0.00011674526130215864,0.0150000005960464
1950,32.00000148,32.00000148,Trunk,0.014058283800196828,0.05821190633429469,0.1905320808925228,56.50610361772613,178.16373660052378,0.0005874551983082163,8.811827965041087e-05,0.014967076533465361
2005,32.00000148,36.0,Trunk,0.013726044904566526,0.05643690573328213,0.18845438291131233,55.01877053206311,173.47417699660613,0.000575240653335648,8.628609733323086e-05,0.01477078093028407
2022,32.00000148,35.00000028,Trunk,0.01380910463594948,0.0568806559234728,0.18897380745336317,55.390603836943875,174.64656700310067,0.0005782942898536174,8.674414295374999e-05,0.014819854835496044
2030,32.00000148,38.00000268,Trunk,0.013559925172687013,0.05554940391514977,0.18741553214427467,54.27510271756134,171.12939318507236,0.000569133370405924,8.53700046081244e-05,0.01467263296086062
2047,32.00000148,38.00000268,Trunk,0.013559925172687013,0.05554940391514977,0.18741553214427467,54.27510271756134,171.12939318507236,0.000569133370405924,8.53700046081244e-05,0.01467263296086062
2094,32.00000148,32.00000148,Trunk,0.014058283800196828,0.05821190633429469,0.1905320808925228,56.50610361772613,178.16373660052378,0.0005874551983082163,8.811827965041087e-05,0.014967076533465361
2155,32.00000148,22.00000032,Trunk,0.01776479705565517,0.07668484266412862,0.24248394052148872,72.13431966329868,227.4395250886514,0.000754064663834997,0.000113109707097195,0.0150000005960464
2184,32.00000148,20.00000088,Trunk,0.018547464047414832,0.08058130175429026,0.253546828595556,75.43126286850712,237.83479206711294,0.0007893436990586498,0.00011840156399332046,0.0150000005960464
2194,32.00000148,19.00000116,Trunk,0.018938797543294663,0.0825295312993711,0.2590782726325897,77.07973447111135,243.03242555634372,0.0008069832166704763,0.0001210474924413832,0.0150000005960464
2222,32.00000148,28.00000116,Trunk,0.0154167950942155,0.06499546048410383,0.20929526236004398,62.243485893523754,196.25371105522677,0.0006482275137124415,9.723412974107705e-05,0.0150000005960464
2245,32.00000148,32.00000148,Trunk,0.014058283800196828,0.05821190633429469,0.1905320808925228,56.50610361772613,178.16373660052378,0.0005874551983082163,8.811827965041087e-05,0.014967076533465361
2267,32.00000148,34.00000092,Trunk,0.013892164337430922,0.05732440595391335,0.18949323180842112,55.76243700796461,175.8189565875347,0.0005813479252722774,8.720218840937264e-05,0.01486892872304141
2323,32.00000148,26.00000028,Trunk,0.016199462649495556,0.06889192237971682,0.2203581583993929,65.54043147253198,206.64898551828264,0.000683506574337007,0.00010252599044734054,0.0150000005960464
2358,32.00000148,33.0000012,Trunk,0.013975224068813876,0.05776815614410402,0.19001265635047196,56.13427031284537,176.99134659402924,0.0005844015617902468,8.766023402989176e-05,0.014918002628253386
2370,32.00000148,34.00000092,Trunk,0.013892164337430922,0.05732440595391335,0.18949323180842112,55.76243700796461,175.8189565875347,0.0005813479252722774,8.720218840937264e-05,0.01486892872304141
2386,32.00000148,28.99999908,Trunk,0.01502546230273616,0.06304723444583717,0.2037638282796124,60.59501725816925,191.0560869217389,0.0006305880278517557,9.458820605568686e-05,0.0150000005960464
2442,32.00000148,38.00000268,Trunk,0.013559925172687013,0.05554940391514977,0.18741553214427467,54.27510271756134,171.12939318507236,0.000569133370405924,8.53700046081244e-05,0.01467263296086062
2466,32.00000148,34.00000092,Trunk,0.013892164337430922,0.05732440595391335,0.18949323180842112,55.76243700796461,175.8189565875347,0.0005813479252722774,8.720218840937264e-05,0.01486892872304141
2535,32.00000148,21.0000006,Trunk,0.018156130551535,0.07863307220920944,0.24801538455852237,73.7827912659029,232.6371585778822,0.0007717041814468234,0.00011575563554525773,0.0150000005960464
2616,32.00000148,30.000002400000003,Trunk,0.01463412739805535,0.06109899788712801,0.1982323643293746,58.94653972106559,185.85843472102235,0.0006129484467376481,9.194226808227904e-05,0.0150000005960464
2631,32.00000148,34.00000092,Trunk,0.013892164337430922,0.05732440595391335,0.18949323180842112,55.76243700796461,175.8189565875347,0.0005813479252722774,8.720218840937264e-05,0.01486892872304141
2691,32.00000148,31.000001759999996,Trunk,0.014242794043055618,0.059150769043410024,0.1927009222836614,57.29806871191132,180.66080310294018,0.0005953089354760497,8.929634058675081e-05,0.0150000005960464
2760,32.00000148,27.0,Trunk,0.01580812915361572,0.06694369283463598,0.21482671436235926,63.891959869927746,201.45135202905186,0.0006658670567251804,9.988006199927781e-05,0.0150000005960464
2803,32.00000148,30.000002400000003,Trunk,0.01463412739805535,0.06109899788712801,0.1982323643293746,58.94653972106559,185.85843472102235,0.0006129484467376481,9.194226808227904e-05,0.0150000005960464
2874,32.00000148,28.99999908,Trunk,0.01502546230273616,0.06304723444583717,0.2037638282796124,60.59501725816925,191.0560869217389,0.0006305880278517557,9.458820605568686e-05,0.0150000005960464
2904,32.00000148,33.0000012,Trunk,0.013975224068813876,0.05776815614410402,0.19001265635047196,56.13427031284537,176.99134659402924,0.0005844015617902468,8.766023402989176e-05,0.014918002628253386
2934,32.00000148,34.00000092,Trunk,0.013892164337430922,0.05732440595391335,0.18949323180842112,55.76243700796461,175.8189565875347,0.0005813479252722774,8.720218840937264e-05,0.01486892872304141
2983,32.00000148,33.0000012,Trunk,0.013975224068813876,0.05776815614410402,0.19001265635047196,56.13427031284537,176.99134659402924,0.0005844015617902468,8.766023402989176e-05,0.014918002628253386
3012,32.00000148,27.0,Trunk,0.01580812915361572,0.06694369283463598,0.21482671436235926,63.891959869927746,201.45135202905186,0.0006658670567251804,9.988006199927781e-05,0.0150000005960464
3045,32.00000148,17.000000280000002,Trunk,0.019721465098574715,0.08642599319498408,0.2701411686719386,80.37668005011956,253.42770001939957,0.0008422622772950416,0.0001263393531476467,0.0150000005960464
3089,32.00000148,30.000002400000003,Trunk,0.01463412739805535,0.06109899788712801,0.1982323643293746,58.94653972106559,185.85843472102235,0.0006129484467376481,9.194226808227904e-05,0.0150000005960464
3101,32.00000148,32.00000148,Trunk,0.014058283800196828,0.05821190633429469,0.1905320808925228,56.50610361772613,178.16373660052378,0.0005874551983082163,8.811827965041087e-05,0.014967076533465361
3123,48.00000240000001,48.00000240000001,Trunk,0.01272932764954689,0.051111900894992304,0.18222128541481608,50.556768731733506,159.4054901657033,0.0005385969975310635,8.078954724865793e-05,0.014181893785074586
3270,48.00000240000001,45.99999972,Trunk,0.012895447381426405,0.05199940271312466,0.18326013618185374,51.30043654623528,161.75027397723707,0.0005447042804607875,8.17056399737644e-05,0.014280041754498035
3359,48.00000240000001,45.99999972,Trunk,0.012895447381426405,0.05199940271312466,0.18326013618185374,51.30043654623528,161.75027397723707,0.0005447042804607875,8.17056399737644e-05,0.014280041754498035
3360,48.00000240000001,30.000002400000003,Trunk,0.01463412739805535,0.06109899788712801,0.1982323643293746,58.94653972106559,185.85843472102235,0.0006129484467376481,9.194226808227904e-05,0.0150000005960464
3496,48.00000240000001,42.0000012,Trunk,0.013227686277056708,0.053774403314137215,0.1853378341630642,52.78776963189831,166.43983358115472,0.0005569188254333558,8.35378222909444e-05,0.014476337357679328
3502,48.00000240000001,43.00000092,Trunk,0.013144626545673754,0.05333065312394655,0.18481840962101337,52.41593632701755,165.26744357466018,0.0005538651889153863,8.307977667042529e-05,0.014427263452467353
3546,48.00000240000001,45.99999972,Trunk,0.012895447381426405,0.05199940271312466,0.18326013618185374,51.30043654623528,161.75027397723707,0.0005447042804607875,8.17056399737644e-05,0.014280041754498035
3606,48.00000240000001,47.00000268,Trunk,0.012812387380929845,0.05155565108518297,0.18274070995686692,50.92860203661427,160.57788017219784,0.000541650634049033,8.124759286917705e-05,0.014230967690286563
3623,48.00000240000001,47.00000268,Trunk,0.012812387380929845,0.05155565108518297,0.18274070995686692,50.92860203661427,160.57788017219784,0.000541650634049033,8.124759286917705e-05,0.014230967690286563
3638,48.00000240000001,47.00000268,Trunk,0.012812387380929845,0.05155565108518297,0.18274070995686692,50.92860203661427,160.57788017219784,0.000541650634049033,8.124759286917705e-05,0.014230967690286563
3650,48.00000240000001,44.00000028,Trunk,0.013061566844192312,0.052886903093505994,0.18429898526595542,52.04410315599681,164.09505399022615,0.0005508115534967263,8.262173121480264e-05,0.014378189564921987
3813,48.00000240000001,40.00000176,Trunk,0.013393805739822616,0.05466190369451855,0.1863766832471659,53.53143624165983,168.7846135941438,0.0005630260984692946,8.445391353198264e-05,0.01457448516810328
3917,48.00000240000001,28.00000116,Trunk,0.0154167950942155,0.06499546048410383,0.20929526236004398,62.243485893523754,196.25371105522677,0.0006482275137124415,9.723412974107705e-05,0.0150000005960464
3946,48.00000240000001,21.0000006,Trunk,0.018156130551535,0.07863307220920944,0.24801538455852237,73.7827912659029,232.6371585778822,0.0007717041814468234,0.00011575563554525773,0.0150000005960464
4003,48.00000240000001,21.0000006,Trunk,0.018156130551535,0.07863307220920944,0.24801538455852237,73.7827912659029,232.6371585778822,0.0007717041814468234,0.00011575563554525773,0.0150000005960464
4004,32.00000148,21.0000006,Access,0.013777539317651829,0.07330709059327856,0.21014926954839053,67.48206922911226,212.77097133806538,0.0007467216668542961,0.00011200825293852737,0.0150000005960464
4018,32.00000148,20.00000088,Access,0.014122693475023538,0.07515567441824592,0.21564479785358281,69.11433235165016,217.91749356353571,0.0007717801374004321,0.00011576702352044776,0.0150000005960464
4055,32.00000148,22.00000032,Access,0.013432385160280119,0.0714585067683112,0.20465374124319818,65.84980610657432,207.62444911259502,0.00072166319630816,0.00010824948235660698,0.0150000005960464
4074,32.00000148,25.00000092,Access,0.012396922191142863,0.06591275263144766,0.18816714841405824,60.95301438850101,192.1848750251899,0.0006464877485855442,9.697316519821465e-05,0.0150000005960464
4081,32.00000148,27.0,Access,0.011740439494687626,0.06223888631465974,0.1778563066342105,57.856400568165995,182.42125599405625,0.000602078101976618,9.031171839059766e-05,0.0150000005960464
4092,32.00000148,28.00000116,Access,0.011470286304378317,0.060441964533254317,0.1738690103173124,56.59644698540763,178.4486203031441,0.0005896743925003741,8.845116237652874e-05,0.0150000005960464
4119,32.00000148,28.00000116,Access,0.011470286304378317,0.060441964533254317,0.1738690103173124,56.59644698540763,178.4486203031441,0.0005896743925003741,8.845116237652874e-05,0.0150000005960464
4153,32.00000148,32.00000148,Access,0.01038967471020151,0.05325428517032567,0.15791984227482006,51.55663809736734,162.55809470126172,0.0005400596081793611,8.10089463578457e-05,0.0150000005960464
4164,32.00000148,34.00000092,Access,0.00993220508098602,0.0502114295959473,0.151167869567871,49.4230690002441,155.830947875977,0.000519055523909628,7.78583344072104e-05,0.0150000005960464
4203,32.00000148,33.0000012,Access,0.010119521908912344,0.051457365976484606,0.153932551699622,50.29668632894004,158.58546473093833,0.0005276559165644381,7.914839302297434e-05,0.0150000005960464
4277,32.00000148,33.0000012,Access,0.010119521908912344,0.051457365976484606,0.153932551699622,50.29668632894004,158.58546473093833,0.0005276559165644381,7.914839302297434e-05,0.0150000005960464
4278,,,Local,,,,,,,,
