distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type,HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
53,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
54,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
239,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
240,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
267,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
268,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
642,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
643,32.00000148,32.00000148,Local,0.015001554862540688,0.06321433705440085,0.20191057262559825,60.02460256408607,189.25758649582204,0.0006313445906534783,9.470169636659792e-05,0.0150000005960464
732,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
747,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
835,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
855,32.00000148,32.00000148,Local,0.015001554862540688,0.06321433705440085,0.20191057262559825,60.02460256408607,189.25758649582204,0.0006313445906534783,9.470169636659792e-05,0.0150000005960464
934,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
954,32.00000148,35.00000028,Local,0.013344351835196657,0.05782079440186326,0.18626272612270392,55.732158714866166,175.7235112572824,0.0005901788662222346,8.852683505076359e-05,0.0150000005960464
989,32.00000148,28.99999908,Local,0.016658759878529147,0.06860788617919222,0.2175584379059159,64.31705156424064,202.7916779752585,0.0006725103644836112,0.00010087656509226881,0.0150000005960464
